"""""""Hb 43999 Unlisted Procedure Stomach""","75000184","CDM","750","RC","","","","","facility","both","","","","6069","2124.15","","","","","","","","","","","","","Gross Charge Type: Fsid 100"
"Acute Adjustment Reaction And Psychosocial Dysfunction","880","MS-DRG","","","","","","","facility","inpatient","","","","","","Phcs","Hmo/Pos/Epo","","","[Stop Loss: Total Charges > 30000 | Total % of Charge: 65] [Lesser Than Charges paid at %: 65] [Medical-Per Diem: 1093] [Surgical-Per Diem: 1093] [ICU-Per Diem: 1520] [CCU-Per Diem: 1520] [Step Down-Per Diem: 1283] [C-Section 3 day stay-Case Rate: 3753 Days: 3 Additional Days: 651] [C-Section 4 day stay-Case Rate: 4404 Days: 4 Additional Days: 651] [Normal vag. Del. 2 day stay-Case Rate: 2565 Days: 2 Additional Days: 651] [Normal vag. Del. 3 day stay-Case Rate: 3216 Days: 3 Additional Days: 651] [Nursery  Level 1- Boarder-Per Diem: 356] [Nursery  Level 2-Per Diem: 855] [Nursery  Level 3-Per Diem: 1520] [Psych-Per Diem: 546] [IP High Cost Drugs (%BC): 65] [IP Prosthetics/Implants/Devices (%BC): 65] [Burn  (%BC): 85] [Cardiac Surgery (%BC): 65] [Transplants (%BC): 85] [Trauma  (%BC): 85]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute Adjustment Reaction And Psychosocial Dysfunction","880","MS-DRG","","","","","","","facility","inpatient","","","","","","Sunshine Health","Ambetter Exchange","","","[Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE]","13982.66","11756.37","35546.22","1 through 10","other","","","Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
"Acute Adjustment Reaction And Psychosocial Dysfunction","880","MS-DRG","","","","","","","facility","inpatient","","","","","","Wellcare","Medicare Managed Care Plan","11321.08","","","","","","","fee schedule","7692.77","23956.37","MSDRG Base Rate"
"Acute And Subacute Endocarditis With Cc","289","MS-DRG","","","","","","","facility","inpatient","","","","","","Employers Health Network","Web Tpa All Commercial Plans","24285.84","","","","","","","fee schedule","12652.22","74730.21",""
"Acute And Subacute Endocarditis With Cc","289","MS-DRG","","","","","","","facility","inpatient","","","","","","Sunshine Health","Medicare Managed Care Plan","18817.06","","","","","","","fee schedule","12652.22","74730.21","MSDRG Base Rate"
"Acute And Subacute Endocarditis With Mcc","288","MS-DRG","","","","","","","facility","inpatient","","","","","","City Of Tampa","Workers Compensation Plan","","","[Burn  (%BC): 68] [Trauma  (%BC): 68] [All Other IP (%BC): 64]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute And Subacute Endocarditis With Mcc","288","MS-DRG","","","","","","","facility","inpatient","","","","","","Longevity","Medicare Managed Care Plan","","","[Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute And Subacute Endocarditis With Mcc","288","MS-DRG","","","","","","","facility","inpatient","","","","","","Simply Healthcare","Medicaid Managed Care Plan","","","[Inpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://ahca.myflorida.com/medicaid/]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute And Subacute Endocarditis With Mcc","288","MS-DRG","","","","","","","facility","inpatient","","","","","","Wellmed","Medicare Managed Care Plan","","","[Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute And Subacute Endocarditis Without Cc/Mcc","290","MS-DRG","","","","","","","facility","inpatient","","","","","","Aetna","Hmo","","","[Stop Loss: Total Charges > 1450367 | Total % of Charge: 28] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Psych-Per Diem: 1603] [Rehab-Per Diem: 2399] [Transplants-Case Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
