LAB AB BACTERIUM NONSPECIFIED NS,3107133,CDM,302,RC,86609,CPT,,,facility,outpatient,,,153.00000,29.07000,Aetna,Medical Rental,,80.63,,,,,,,12.88,114.75,percent of total billed charges,"Multiple procedure processing -  Primary, Secondary, and Subsequent procedures reimbursed at 100% of contract rate."
LAB AB BACTERIUM NONSPECIFIED NS,3107133,CDM,302,RC,86609,CPT,,,facility,outpatient,,,153.00000,29.07000,Devoted Health Services,Medicare Advantage,,13.52,,,,,,,12.88,114.75,fee schedule,
LAB AB BARTONELLA,3077039,CDM,302,RC,86611,CPT,,,facility,outpatient,,,62.00000,11.78000,Health Net,Commerical Exchange Product,,15.07,,,,,,,10.18,60.66,fee schedule,
LAB AB BARTONELLA,3077039,CDM,302,RC,86611,CPT,,,facility,outpatient,,,62.00000,11.78000,Health Net,Commerical Exchange Product,,15.07,,,,,,,10.18,60.66,fee schedule,
LAB AB BARTONELLA,3077039,CDM,302,RC,86611,CPT,,,facility,outpatient,,,62.00000,11.78000,United Healthcare,Individual Exchange,,14.25,,,,,,,10.18,60.66,fee schedule,
LAB AB BETA 2 GLYCOPROTEIN I,3077047,CDM,302,RC,86146,CPT,,,facility,inpatient,,,77.00000,14.63000,Aetna,Medical Rental,,40.58,,,,,,,34.65,57.75,percent of total billed charges,
LAB AB BETA 2 GLYCOPROTEIN I,3077047,CDM,302,RC,86146,CPT,,,facility,outpatient,,,77.00000,14.63000,Health Net,Medicare,,25.45,,,,,,,25.45,116.60,fee schedule,
LAB AB BLASTOMYCES NS,3077054,CDM,302,RC,86612,CPT,,,facility,outpatient,,,78.00000,14.82000,Arizona Priority Care,Alignment Health Plans Medicare Advantage/Eternal Health Plan Medicare/SCAN Health Plan Medicare,,14.19,,,,,,,12.90,59.09,fee schedule,
LAB AB BLASTOMYCES NS,3077054,CDM,302,RC,86612,CPT,,,facility,outpatient,,,78.00000,14.82000,Banner University Health Plan,AZ Medicaid - AHCCCS,,12.90,,,,,,,12.90,59.09,fee schedule,
LAB AB BLASTOMYCES NS,3077054,CDM,302,RC,86612,CPT,,,facility,outpatient,,,78.00000,14.82000,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,,47.27,,,,,,,12.90,59.09,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
LAB AB BLASTOMYCES NS,3077054,CDM,302,RC,86612,CPT,,,facility,outpatient,,,78.00000,14.82000,Mercy Care,Medicaid,,12.90,,,,,,,12.90,59.09,fee schedule,
LAB AB BORDETELLA,3077104,CDM,302,RC,86615,CPT,,,facility,outpatient,,,70.00000,13.30000,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,,48.33,,,,,,,13.19,60.41,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
LAB AB CAMPYLOBACTER NS,3112059,CDM,302,RC,86625,CPT,,,facility,outpatient,,,40.00000,7.60000,Aetna,Qualified Health Plan,,17.84,,,,,,,13.12,60.16,fee schedule,
LAB AB CAMPYLOBACTER NS,3112059,CDM,302,RC,86625,CPT,,,facility,outpatient,,,40.00000,7.60000,Mercy Care,Medicaid,,13.12,,,,,,,13.12,60.16,fee schedule,
LAB AB CANDIDA,3077138,CDM,302,RC,86628,CPT,,,facility,outpatient,,,71.00000,13.49000,"Cigna Healthcare of Arizona, Inc.",LocalFlex,,21.09,,,,,,,12.01,55.05,fee schedule,
LAB AB CANDIDA,3077138,CDM,302,RC,86628,CPT,,,facility,outpatient,,,71.00000,13.49000,Arizona Medical Network,Commercial,,49.70,,,,,,,12.01,55.05,percent of total billed charges,
LAB AB CANDIDA,3077138,CDM,302,RC,86628,CPT,,,facility,outpatient,,,71.00000,13.49000,NaphCare,Federal,,16.21,,,,,,,12.01,55.05,fee schedule,
LAB AB CARDIOLIPIN IG EA,3077146,CDM,302,RC,86147,CPT,,,facility,outpatient,,,80.00000,15.20000,"Cigna Healthcare of Arizona, Inc.",HMO Medicare Advantage Plan,,25.45,,,,,,,25.45,116.60,fee schedule,
LAB AB CARDIOLIPIN IG EA,3077146,CDM,302,RC,86147,CPT,,,facility,outpatient,,,80.00000,15.20000,Quiktrip Corporation,Commercial,,43.20,,,,,,,25.45,116.60,percent of total billed charges,
LAB AB CHAGAS RIPA,3026085,CDM,302,RC,86753,CPT,,,facility,outpatient,,,38.00000,7.22000,Blue Cross Blue Shield of Arizona,BXBSAZ Neighborhood,,42.57,,,,,,,12.39,56.75,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
LAB AB CHAGAS RIPA,3026085,CDM,302,RC,86753,CPT,,,facility,outpatient,,,38.00000,7.22000,Blue Cross Blue Shield of Arizona,Commercial,,56.75,,,,,,,12.39,56.75,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
LAB AB CHANNEL CA VOLTAGE-GATED,3065018,CDM,302,RC,86596,CPT,,,facility,outpatient,,,444.00000,84.36000,Blue Cross Blue Shield of Arizona,Commercial,,40.04,,,,,,,11.68,333.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
LAB AB CHANNEL CA VOLTAGE-GATED,3065018,CDM,302,RC,86596,CPT,,,facility,outpatient,,,444.00000,84.36000,Devoted Health Services,Medicare Advantage,,12.65,,,,,,,11.68,333.00,fee schedule,
LAB AB CHANNEL CA VOLTAGE-GATED,3065018,CDM,302,RC,86596,CPT,,,facility,outpatient,,,444.00000,84.36000,United Healthcare,Commercial,,41.40,,,,,,,11.68,333.00,fee schedule,"Unless otherwise indicated in the Facility Fee Schedule Specifications, Laboratory/Pathology Codes not yet listed on the fee schedule or listed on the fee schedule that do not have a Primary or Gap Fill Source Fee will default to a contract rate of 50% PPR."
LAB AB CHLAMYDIA PNEU IGG IGA,3077179,CDM,302,RC,86631,CPT,,,facility,outpatient,,,61.00000,11.59000,Blue Cross Blue Shield of Arizona,BCBSAZ Workers Comp,,54.17,,,,,,,11.82,54.17,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
LAB AB CHLAMYDIA PSITTACI IGG IGA,3077195,CDM,302,RC,86631,CPT,,,facility,outpatient,,,61.00000,11.59000,Arizona Physicians IPA,Medicare Advantage,,11.82,,,,,,,11.82,54.17,fee schedule,
LAB AB CHLAMYDIA PSITTACI IGG IGA,3077195,CDM,302,RC,86631,CPT,,,facility,outpatient,,,61.00000,11.59000,Blue Cross Blue Shield of Arizona,Commercial,,54.17,,,,,,,11.82,54.17,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
LAB AB CHLAMYDIA PSITTACI IGM,3077203,CDM,302,RC,86632,CPT,,,facility,outpatient,,,61.00000,11.59000,Devoted Health Services,Medicare Advantage,,13.31,,,,,,,12.68,58.08,fee schedule,
LAB AB CHLAMYDIA TRAC IGG IGA,3104353,CDM,302,RC,86631,CPT,,,facility,outpatient,,,61.00000,11.59000,Aetna,Qualified Health Plan,,16.08,,,,,,,11.82,54.17,fee schedule,
LAB AB CHLAMYDIA TRAC IGM,3077211,CDM,302,RC,86632,CPT,,,facility,outpatient,,,61.00000,11.59000,"Cigna Healthcare of Arizona, Inc.",Commercial,,24.72,,,,,,,12.68,58.08,fee schedule,
LAB AB CHLAMYDIA TRAC IGM,3077211,CDM,302,RC,86632,CPT,,,facility,outpatient,,,61.00000,11.59000,Blue Cross Blue Shield of Arizona,BXBSAZ Neighborhood,,43.56,,,,,,,12.68,58.08,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
LAB AB CHLAMYDIA,3077153,CDM,302,RC,86631,CPT,,,facility,outpatient,,,81.00000,15.39000,Health Net,Medicaid,,11.82,,,,,,,11.82,60.75,fee schedule,
LAB AB CHLAMYDIA,3077153,CDM,302,RC,86631,CPT,,,facility,outpatient,,,81.00000,15.39000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,36.45,,,,,,,11.82,60.75,percent of total billed charges,
LAB AB CHORIOMENINGITIS LYMPHOCYTIC,3078839,CDM,302,RC,86727,CPT,,,facility,inpatient,,,62.00000,11.78000,Quiktrip Corporation,Commercial,,33.48,,,,,,,27.90,46.50,percent of total billed charges,
LAB AB CHORIOMENINGITIS LYMPHOCYTIC,3078839,CDM,302,RC,86727,CPT,,,facility,outpatient,,,62.00000,11.78000,"Health Choice Arizona, Inc.",Medicaid,,12.87,,,,,,,12.87,58.96,fee schedule,
LAB AB CHORIOMENINGITIS LYMPHOCYTIC,3078839,CDM,302,RC,86727,CPT,,,facility,outpatient,,,62.00000,11.78000,"Health Choice Arizona, Inc.",Medicare Advantage,,12.87,,,,,,,12.87,58.96,fee schedule,
LAB AB CHORIOMENINGITIS LYMPHOCYTIC,3078839,CDM,302,RC,86727,CPT,,,facility,outpatient,,,62.00000,11.78000,Gold Kidney Health Plan,Medicare Advantage,,14.16,,,,,,,12.87,58.96,fee schedule,
LAB AB COCCIDIOIDES IGG,3077260,CDM,302,RC,86635,CPT,,,facility,outpatient,,,152.00000,28.88000,Banner University Health Plan,Medicare Advantage,,11.47,,,,,,,11.47,114.00,fee schedule,
LAB AB COCCIDIOIDES IGG,3077260,CDM,302,RC,86635,CPT,,,facility,outpatient,,,152.00000,28.88000,United Healthcare,UHC Doctor's Plan,,21.22,,,,,,,11.47,114.00,fee schedule,"Unless otherwise indicated in the Facility Fee Schedule Specifications, Laboratory/Pathology Codes not yet listed on the fee schedule or listed on the fee schedule that do not have a Primary or Gap Fill Source Fee will default to a contract rate of 50% PPR."
LAB AB COCCIDIOIDES IGM,3077278,CDM,302,RC,86635,CPT,,,facility,outpatient,,,152.00000,28.88000,Oscar Health Plan,Commercial,,18.93,,,,,,,11.47,114.00,fee schedule,
LAB AB COCCIDIOIDES NS,3109378,CDM,302,RC,86635,CPT,,,facility,outpatient,,,66.00000,12.54000,Banner Health,Medicare Advantage,,11.47,,,,,,,11.47,52.59,fee schedule,
LAB AB COCCIDIOIDES NS,3109378,CDM,302,RC,86635,CPT,,,facility,outpatient,,,66.00000,12.54000,Banner Health,Medicare Advantage,,11.47,,,,,,,11.47,52.59,fee schedule,
LAB AB COCCIDIOIDES NS,3109378,CDM,302,RC,86635,CPT,,,facility,outpatient,,,66.00000,12.54000,Health Net,Medicaid,,11.47,,,,,,,11.47,52.59,fee schedule,
LAB AB COCCIDIOIDES,3077252,CDM,302,RC,86635,CPT,,,facility,outpatient,,,55.00000,10.45000,Arizona Medical Network,Commercial,,38.50,,,,,,,11.47,52.59,percent of total billed charges,
LAB AB COXIELLA BRUNETII,3077526,CDM,302,RC,86638,CPT,,,facility,outpatient,,,57.00000,10.83000,Blue Cross Blue Shield of Arizona,BXBSAZ Alliance CHS,,46.61,,,,,,,12.12,55.49,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
LAB AB COXSACKIE,3077534,CDM,302,RC,86658,CPT,,,facility,outpatient,,,53.00000,10.07000,Carelon,Medicare Advantage,,13.68,,,,,,,13.03,59.72,fee schedule,
LAB AB COXSACKIE,3077534,CDM,302,RC,86658,CPT,,,facility,outpatient,,,53.00000,10.07000,Plotkin Health,Plotkin Health,,23.85,,,,,,,13.03,59.72,percent of total billed charges,
LAB AB COXSACKIE,3077534,CDM,302,RC,86658,CPT,,,facility,outpatient,,,53.00000,10.07000,Provider Network of America,Commercial,,39.75,,,,,,,13.03,59.72,percent of total billed charges,
LAB AB CRYPTOCOCCUS IFA,3110327,CDM,302,RC,86641,CPT,,,facility,outpatient,,,44.00000,8.36000,Aetna,Joint Venture,,48.39,,,,,,,14.41,66.02,fee schedule,
LAB AB CRYPTOCOCCUS IFA,3110327,CDM,302,RC,86641,CPT,,,facility,outpatient,,,44.00000,8.36000,Aetna,Medicare Advantage,,14.41,,,,,,,14.41,66.02,fee schedule,
LAB AB CRYPTOCOCCUS IFA,3110327,CDM,302,RC,86641,CPT,,,facility,outpatient,,,44.00000,8.36000,Banner University Health Plan,University Family Plan,,14.41,,,,,,,14.41,66.02,fee schedule,
LAB AB CRYPTOCOCCUS IFA,3110327,CDM,302,RC,86641,CPT,,,facility,outpatient,,,44.00000,8.36000,Blue Cross Blue Shield of Arizona,Medicare Supplemental Senior Preferred,,19.26,,,,,,,14.41,66.02,fee schedule,"For Outpatient Covered Services in which Medicare has made payment, reimbursement is the remaining balance payable up to the Medicare Allowed Amount. For Outpatient Covered Services in which Medicare has not made payment, reimbursement is the lesser of 100% of Billed Charges or a percentage of the BCBSAZ Outpatient Fee Schedule."
LAB AB CYSTICERCUS CSF,3123445,CDM,302,RC,86682,CPT,,,facility,outpatient,,,64.00000,12.16000,"Cigna Healthcare of Arizona, Inc.",LocalFlex,,22.84,,,,,,,13.01,59.59,fee schedule,
LAB AB CYSTICERCUS CSF,3123445,CDM,302,RC,86682,CPT,,,facility,outpatient,,,64.00000,12.16000,United Healthcare,UHC Core,,26.60,,,,,,,13.01,59.59,fee schedule,"Unless otherwise indicated in the Facility Fee Schedule Specifications, Laboratory/Pathology Codes not yet listed on the fee schedule or listed on the fee schedule that do not have a Primary or Gap Fill Source Fee will default to a contract rate of 50% PPR."
LAB AB CYTOM FLOW MOG MAYO,3903705,CDM,302,RC,86363,CPT,,,facility,inpatient,,,497.00000,94.43000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,223.65,,,,,,,223.65,372.75,percent of total billed charges,
LAB AB CYTOM FLOW MOG MAYO,3903705,CDM,302,RC,86363,CPT,,,facility,outpatient,,,497.00000,94.43000,Carelon,Medicare Advantage,,39.62,,,,,,,12.05,372.75,fee schedule,
LAB AB CYTOM FLOW MOG,3065026,CDM,302,RC,86363,CPT,,,facility,outpatient,,,211.00000,40.09000,"Cigna Healthcare of Arizona, Inc.",PPO Medicare Advantage Plan,,37.73,,,,,,,12.05,158.25,fee schedule,
LAB AB CYTOM FLOW MOG,3065026,CDM,302,RC,86363,CPT,,,facility,outpatient,,,211.00000,40.09000,TriWest Healthcare Alliance Corp - VA CCN,VA Community Care Network,,37.73,,,,,,,12.05,158.25,fee schedule,Services not payable under Medicare will be paid at the VA Fee Schedule.
LAB AB CYTOMEGALOVIRUS IGM NS,3077245,CDM,302,RC,86645,CPT,,,facility,outpatient,,,51.00000,9.69000,Aetna,Qualified Health Plan,,22.92,,,,,,,16.85,77.19,fee schedule,
LAB AB CYTOMEGALOVIRUS IGM NS,3077245,CDM,302,RC,86645,CPT,,,facility,outpatient,,,51.00000,9.69000,Humana,Medicare Advantage,,17.36,,,,,,,16.85,77.19,fee schedule,
LAB AB CYTOMEGALOVIRUS IGM NS,3077245,CDM,302,RC,86645,CPT,,,facility,outpatient,,,51.00000,9.69000,Oscar Health Plan,Commercial,,27.80,,,,,,,16.85,77.19,fee schedule,
LAB AB CYTOMEGALOVIRUS IGM,3077237,CDM,302,RC,86645,CPT,,,facility,inpatient,,,61.00000,11.59000,Aetna,Medical Rental,,32.15,,,,,,,27.45,45.75,percent of total billed charges,
LAB AB CYTOMEGALOVIRUS IGM,3077237,CDM,302,RC,86645,CPT,,,facility,outpatient,,,61.00000,11.59000,Aetna,Joint Venture,,56.58,,,,,,,16.85,77.19,fee schedule,
LAB AB CYTOMEGALOVIRUS IGM,3077237,CDM,302,RC,86645,CPT,,,facility,outpatient,,,61.00000,11.59000,Aetna,Qualified Health Plan,,22.92,,,,,,,16.85,77.19,fee schedule,
LAB AB CYTOMEGALOVIRUS NS,3027786,CDM,302,RC,86644,CPT,,,facility,inpatient,,,56.00000,10.64000,Quiktrip Corporation,Commercial,,30.24,,,,,,,25.20,42.00,percent of total billed charges,
LAB AB CYTOMEGALOVIRUS,3077229,CDM,302,RC,86644,CPT,,,facility,outpatient,,,60.00000,11.40000,"Cigna Healthcare of Arizona, Inc.",Commercial,,28.05,,,,,,,14.39,65.90,fee schedule,
LAB AB CYTOMEGALOVIRUS,3077229,CDM,302,RC,86644,CPT,,,facility,outpatient,,,60.00000,11.40000,Health Net,Medicare,,14.39,,,,,,,14.39,65.90,fee schedule,
LAB AB CYTOMEGALOVIRUS,3077229,CDM,302,RC,86644,CPT,,,facility,outpatient,,,60.00000,11.40000,Mercy Care,Mercy Care Advantage,,14.39,,,,,,,14.39,65.90,fee schedule,
LAB AB DEOXYRIBONUCLEASE,3077617,CDM,302,RC,86215,CPT,,,facility,outpatient,,,40.00000,7.60000,Health Net,Medicaid,,13.25,,,,,,,13.25,60.73,fee schedule,
LAB AB DIPTHERIA,3077625,CDM,302,RC,86648,CPT,,,facility,outpatient,,,63.00000,11.97000,Blue Cross Blue Shield of Arizona,Medicare Supplemental Senior Preferred,,20.33,,,,,,,15.21,69.68,fee schedule,"For Outpatient Covered Services in which Medicare has made payment, reimbursement is the remaining balance payable up to the Medicare Allowed Amount. For Outpatient Covered Services in which Medicare has not made payment, reimbursement is the lesser of 100% of Billed Charges or a percentage of the BCBSAZ Outpatient Fee Schedule."
LAB AB DNA STRANDED NATVE/DOUBLE NS,3109212,CDM,302,RC,86225,CPT,,,facility,outpatient,,,62.00000,11.78000,Aetna,Qualified Health Plan,,18.69,,,,,,,13.74,62.93,fee schedule,
LAB AB DNA STRANDED NATVE/DOUBLE NS,3109212,CDM,302,RC,86225,CPT,,,facility,outpatient,,,62.00000,11.78000,Health Net,Commerical Exchange Product,,20.34,,,,,,,13.74,62.93,fee schedule,
LAB AB DNA STRANDED NATVE/DOUBLE NS,3109212,CDM,302,RC,86225,CPT,,,facility,outpatient,,,62.00000,11.78000,Health Net,Commerical Exchange Product,,20.34,,,,,,,13.74,62.93,fee schedule,
LAB AB EBV EARLY AG,3077658,CDM,302,RC,86663,CPT,,,facility,outpatient,,,55.00000,10.45000,"Cigna Healthcare of Arizona, Inc.",HMO Medicare Advantage Plan,,13.12,,,,,,,13.12,60.16,fee schedule,
LAB AB EBV EARLY AG,3077658,CDM,302,RC,86663,CPT,,,facility,outpatient,,,55.00000,10.45000,Carelon,Medicare Advantage,,13.78,,,,,,,13.12,60.16,fee schedule,
LAB AB EBV EARLY AG,3077658,CDM,302,RC,86663,CPT,,,facility,outpatient,,,55.00000,10.45000,Health Net,Medicaid,,13.12,,,,,,,13.12,60.16,fee schedule,
LAB AB EBV EARLY AG,3077658,CDM,302,RC,86663,CPT,,,facility,outpatient,,,55.00000,10.45000,Plotkin Health,Plotkin Health,,24.75,,,,,,,13.12,60.16,percent of total billed charges,
LAB AB EBV EARLY AG,3077658,CDM,302,RC,86663,CPT,,,facility,outpatient,,,55.00000,10.45000,TriWest Healthcare Alliance Corp - VA CCN,VA Community Care Network,,13.12,,,,,,,13.12,60.16,fee schedule,Services not payable under Medicare will be paid at the VA Fee Schedule.
LAB AB EBV EBNA NS,3109626,CDM,302,RC,86664,CPT,,,facility,outpatient,,,54.00000,10.26000,"Health Choice Arizona, Inc.",Medicare Advantage,,15.29,,,,,,,15.29,70.06,fee schedule,
LAB AB EBV EBNA,3077666,CDM,302,RC,86664,CPT,,,facility,outpatient,,,46.00000,8.74000,Aetna,Banner Employee Plans,,15.46,,,,,,,15.29,70.06,percent of total billed charges,
LAB AB EBV VCA IGG,3077674,CDM,302,RC,86665,CPT,,,facility,outpatient,,,55.00000,10.45000,"Health Choice Arizona, Inc.",Medicaid,,18.14,,,,,,,18.14,83.11,fee schedule,
LAB AB EBV VCA IGG,3077674,CDM,302,RC,86665,CPT,,,facility,outpatient,,,55.00000,10.45000,United Healthcare,UHC Doctor's Plan,,33.55,,,,,,,18.14,83.11,fee schedule,"Unless otherwise indicated in the Facility Fee Schedule Specifications, Laboratory/Pathology Codes not yet listed on the fee schedule or listed on the fee schedule that do not have a Primary or Gap Fill Source Fee will default to a contract rate of 50% PPR."
LAB AB EBV VCA IGM NS,3109642,CDM,302,RC,86665,CPT,,,facility,outpatient,,,55.00000,10.45000,United Healthcare,UHC Doctor's Plan,,33.55,,,,,,,18.14,83.11,fee schedule,"Unless otherwise indicated in the Facility Fee Schedule Specifications, Laboratory/Pathology Codes not yet listed on the fee schedule or listed on the fee schedule that do not have a Primary or Gap Fill Source Fee will default to a contract rate of 50% PPR."
LAB AB EBV VCA IGM,3077682,CDM,302,RC,86665,CPT,,,facility,outpatient,,,62.00000,11.78000,Aetna,Joint Venture,,60.91,,,,,,,18.14,83.11,fee schedule,
LAB AB EBV VCA IGM,3077682,CDM,302,RC,86665,CPT,,,facility,outpatient,,,62.00000,11.78000,Carelon,Medicare Advantage,,19.05,,,,,,,18.14,83.11,fee schedule,
LAB AB EBV VCA IGM,3077682,CDM,302,RC,86665,CPT,,,facility,outpatient,,,62.00000,11.78000,Gold Kidney Health Plan,Medicare Advantage,,19.95,,,,,,,18.14,83.11,fee schedule,
LAB AB EBV VCA,3077690,CDM,302,RC,86665,CPT,,,facility,outpatient,,,55.00000,10.45000,"Cigna Healthcare of Arizona, Inc.",LocalFlex,,31.83,,,,,,,18.14,83.11,fee schedule,
LAB AB EBV VCA,3077690,CDM,302,RC,86665,CPT,,,facility,outpatient,,,55.00000,10.45000,Arizona Priority Care,Alignment Health Plans Medicare Advantage/Eternal Health Plan Medicare/SCAN Health Plan Medicare,,19.95,,,,,,,18.14,83.11,fee schedule,
LAB AB EBV VCA,3077690,CDM,302,RC,86665,CPT,,,facility,outpatient,,,55.00000,10.45000,Banner University Health Plan,University Care Advantage,,18.14,,,,,,,18.14,83.11,fee schedule,
LAB AB EBV VCA,3077690,CDM,302,RC,86665,CPT,,,facility,outpatient,,,55.00000,10.45000,Blue Cross Blue Shield of Arizona,Commercial,,83.11,,,,,,,18.14,83.11,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
LAB AB ECHINOCOCCUS,3029170,CDM,302,RC,86682,CPT,,,facility,inpatient,,,71.00000,13.49000,Provider Network of America,Commercial,,53.25,,,,,,,31.95,53.25,percent of total billed charges,
LAB AB ECHINOCOCCUS,3029170,CDM,302,RC,86682,CPT,,,facility,outpatient,,,71.00000,13.49000,Arizona Medical Network,Commercial,,49.70,,,,,,,13.01,59.59,percent of total billed charges,
LAB AB EHRLICHIA,3077716,CDM,302,RC,86666,CPT,,,facility,outpatient,,,80.00000,15.20000,Aetna,Broad Network,,42.74,,,,,,,10.18,60.00,fee schedule,
LAB AB EHRLICHIA,3077716,CDM,302,RC,86666,CPT,,,facility,outpatient,,,80.00000,15.20000,Aetna,Designated Group,,36.32,,,,,,,10.18,60.00,fee schedule,
LAB AB ENA CENTROMERE B,3105616,CDM,302,RC,86235,CPT,,,facility,outpatient,,,60.00000,11.40000,Arizona Priority Care,Alignment Health Plans Medicare Advantage/Eternal Health Plan Medicare/SCAN Health Plan Medicare,,19.72,,,,,,,17.93,82.17,fee schedule,
LAB AB ENA CENTROMERE B,3105616,CDM,302,RC,86235,CPT,,,facility,outpatient,,,60.00000,11.40000,United Healthcare,Commercial,,40.35,,,,,,,17.93,82.17,fee schedule,"Unless otherwise indicated in the Facility Fee Schedule Specifications, Laboratory/Pathology Codes not yet listed on the fee schedule or listed on the fee schedule that do not have a Primary or Gap Fill Source Fee will default to a contract rate of 50% PPR."
LAB AB ENA CHROMATIN,3110897,CDM,302,RC,86235,CPT,,,facility,outpatient,,,124.00000,23.56000,Blue Cross Blue Shield of Arizona,Medicare Supplemental Senior Preferred,,23.98,,,,,,,17.93,93.00,fee schedule,"For Outpatient Covered Services in which Medicare has made payment, reimbursement is the remaining balance payable up to the Medicare Allowed Amount. For Outpatient Covered Services in which Medicare has not made payment, reimbursement is the lesser of 100% of Billed Charges or a percentage of the BCBSAZ Outpatient Fee Schedule."
LAB AB ENA FIBRILLARIN,3029493,CDM,302,RC,86235,CPT,,,facility,outpatient,,,130.00000,24.70000,Aetna,Designated Group,,63.97,,,,,,,17.93,97.50,fee schedule,
LAB AB ENA FIBRILLARIN,3029493,CDM,302,RC,86235,CPT,,,facility,outpatient,,,130.00000,24.70000,Health Net,Medicaid,,17.93,,,,,,,17.93,97.50,fee schedule,
LAB AB ENA FIBRILLARIN,3029493,CDM,302,RC,86235,CPT,,,facility,outpatient,,,130.00000,24.70000,Wellpoint,Medicare Advantage HMO,,17.93,,,,,,,17.93,97.50,fee schedule,
LAB AB ENA FIBRILLARIN,3029493,CDM,302,RC,86235,CPT,,,facility,outpatient,,,130.00000,24.70000,Wellpoint,Medicare Advantage HMO,,17.93,,,,,,,17.93,97.50,fee schedule,
LAB AB ENA JO1,3110871,CDM,302,RC,86235,CPT,,,facility,outpatient,,,123.00000,23.37000,Blue Cross Blue Shield of Arizona,Medicare Advantage,,17.93,,,,,,,17.93,92.25,fee schedule,
LAB AB ENA JO1,3110871,CDM,302,RC,86235,CPT,,,facility,outpatient,,,123.00000,23.37000,Blue Cross Blue Shield of Arizona,Medicare Advantage,,17.93,,,,,,,17.93,92.25,fee schedule,
LAB AB ENA JO1,3110871,CDM,302,RC,86235,CPT,,,facility,outpatient,,,123.00000,23.37000,Health Net,Medicaid,,17.93,,,,,,,17.93,92.25,fee schedule,
LAB AB ENA JO1,3110871,CDM,302,RC,86235,CPT,,,facility,outpatient,,,123.00000,23.37000,Humana,Medicare Advantage,,18.47,,,,,,,17.93,92.25,fee schedule,
LAB AB ENA NS,3107141,CDM,302,RC,86235,CPT,,,facility,outpatient,,,65.00000,12.35000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,29.25,,,,,,,17.93,82.17,percent of total billed charges,
LAB AB ENA PM/SC1-100,3123072,CDM,302,RC,86235,CPT,,,facility,outpatient,,,115.00000,21.85000,Aetna,Medicare Advantage,,17.93,,,,,,,17.93,86.25,fee schedule,
LAB AB ENA SCLERODERMA,3077757,CDM,302,RC,86235,CPT,,,facility,outpatient,,,123.00000,23.37000,"Cigna Healthcare of Arizona, Inc.",PPO Medicare Advantage Plan,,17.93,,,,,,,17.93,92.25,fee schedule,
LAB AB ENA SCLERODERMA,3077757,CDM,302,RC,86235,CPT,,,facility,outpatient,,,123.00000,23.37000,Provider Network of America,Commercial,,92.25,,,,,,,17.93,92.25,percent of total billed charges,
LAB AB ENA SM/RNP,3110905,CDM,302,RC,86235,CPT,,,facility,outpatient,,,54.00000,10.26000,NaphCare,Federal,,24.21,,,,,,,17.93,82.17,fee schedule,
LAB AB ENA SMITH,3077765,CDM,302,RC,86235,CPT,,,facility,outpatient,,,55.00000,10.45000,Banner University Health Plan,University Care Advantage,,17.93,,,,,,,17.93,82.17,fee schedule,
LAB AB ENA SMITH,3077765,CDM,302,RC,86235,CPT,,,facility,outpatient,,,55.00000,10.45000,Mercy Care,Mercy Care Advantage,,17.93,,,,,,,17.93,82.17,fee schedule,
LAB AB ENA SS-A/RO,3077773,CDM,302,RC,86235,CPT,,,facility,outpatient,,,55.00000,10.45000,"Health Choice Arizona, Inc.",ACA Health Plan,,26.89,,,,,,,17.93,82.17,fee schedule,
LAB AB ENA SS-B/LA,3077781,CDM,302,RC,86235,CPT,,,facility,outpatient,,,55.00000,10.45000,UPMC Health Plan,Medicare Advantage,,17.93,,,,,,,17.93,82.17,fee schedule,
LAB AB ENCEPHALITIS EQUINE EASTERN,3077807,CDM,302,RC,86652,CPT,,,facility,inpatient,,,65.00000,12.35000,Plotkin Health,Plotkin Health,,29.25,,,,,,,29.25,48.75,percent of total billed charges,
LAB AB ENCEPHALITIS EQUINE EASTERN,3077807,CDM,302,RC,86652,CPT,,,facility,inpatient,,,65.00000,12.35000,Quiktrip Corporation,Commercial,,35.10,,,,,,,29.25,48.75,percent of total billed charges,
