"MS-DRG 42.00: ALCOHOL, DRUG ABUSE OR DEPENDENCE WITHOUT REHABILITATION THERAPY WITHOUT MCC",897,MS-DRG,,,,,,,facility,inpatient,,,,13616.67000,TriWest Healthcare Alliance Corp - VA CCN,VA Community Care Network,,9093.40,,,,,,,1973.00,26699.78,fee schedule,Services not payable under Medicare will be paid at the VA Fee Schedule.
"MS-DRG 42.00: ALCOHOL, DRUG ABUSE OR DEPENDENCE WITHOUT REHABILITATION THERAPY WITHOUT MCC",897,MS-DRG,,,,,,,facility,inpatient,,,,13616.67000,United Healthcare,Commercial,,23394.18,,,,,,,1973.00,26699.78,case rate,"When Eligible Charges exceed the Inpatient Outlier Threshold, the contract rate will be designated % of Eligible Charges for the entire admission. Additionally, when the length of stay exceeds 20 days during a single admission, the contract rate will be a per diem rate for each day in excess in addition to the applicable contract rate."
"MS-DRG 42.00: ALCOHOL, DRUG ABUSE OR DEPENDENCE, LEFT AMA",894,MS-DRG,,,,,,,facility,inpatient,,,,9146.71000,Aetna,Joint Venture,,1973.00,,,,,,,1973.00,18888.39,per diem,
"MS-DRG 42.00: ALCOHOL, DRUG ABUSE OR DEPENDENCE, LEFT AMA",894,MS-DRG,,,,,,,facility,inpatient,,,,9146.71000,United Healthcare,Commercial,,16549.88,,,,,,,1973.00,18888.39,case rate,"When Eligible Charges exceed the Inpatient Outlier Threshold, the contract rate will be designated % of Eligible Charges for the entire admission. Additionally, when the length of stay exceeds 20 days during a single admission, the contract rate will be a per diem rate for each day in excess in addition to the applicable contract rate."
"MS-DRG 42.00: ALCOHOL, DRUG ABUSE OR DEPENDENCE, LEFT AMA",894,MS-DRG,,,,,,,facility,inpatient,,,,9146.71000,United Healthcare,UHC Core,,15722.33,,,,,,,1973.00,18888.39,case rate,"When Eligible Charges exceed the Inpatient Outlier Threshold, the contract rate will be designated % of Eligible Charges for the entire admission. Additionally, when the length of stay exceeds 20 days during a single admission, the contract rate will be a per diem rate for each day in excess in addition to the applicable contract rate."
"MS-DRG 42.00: AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH CC",617,MS-DRG,,,,,,,facility,inpatient,,,,31576.04000,"Cigna Healthcare of Arizona, Inc.",LocalFlex,,52614.85,,,,,,,18854.77,61912.20,case rate,"If Hospital’s total Billed Charges for Covered Services rendered with respect to a particular Participant’s continuous acute inpatient confinement exceed $355,665.00, Hospital will be reimbursed at a 38.7% reduction from Hospital’s Billed Charges, less applicable Copayments, Coinsurance and Deductibles, for Covered Services rendered to the Participant during the entire covered acute inpatient stay and the applicable case rate or per diem specified above shall not apply."
"MS-DRG 42.00: AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH CC",617,MS-DRG,,,,,,,facility,inpatient,,,,31576.04000,Aetna,Broad Network,,48948.68,,,,,,,18854.77,61912.20,case rate,"If Eligible Billed Charges for inpatient covered services exceed the stop loss threshold limit, then the inpatient days prior to, including the date on which threshold is reached, will be reimbursed at the set per diem rate. Delays in discharge solely due to unavailability of PABHS, or delay in Company response to requests from Hospital for PABHS, are paid at an additional per diem rate. Company may determine that the Inpatient level of care provided for a given service was not Medically Necessary. If Banner Health agrees to accept Company’s level of care determination, Banner Health may resubmit the claim with Observation bill type for payment of Covered Services in accordance with the Observation Case Rate for non-rehab stays. For rehab stays, a case rate will be paid."
"MS-DRG 42.00: AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH MCC",616,MS-DRG,,,,,,,facility,inpatient,,,,62961.19000,Kaiser Foundation Health Plan,Medicare Advantage,,36839.00,,,,,,,36839.00,116974.23,fee schedule,
"MS-DRG 42.00: AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH MCC",616,MS-DRG,,,,,,,facility,inpatient,,,,62961.19000,Kaiser Foundation Health Plan,Medicare Advantage,,36839.00,,,,,,,36839.00,116974.23,fee schedule,
"MS-DRG 42.00: BREAST BIOPSY, LOCAL EXCISION AND OTHER BREAST PROCEDURES WITH CC/MCC",584,MS-DRG,,,,,,,facility,inpatient,,,,31162.45000,Banner Health,Medicare Advantage,,19931.93,,,,,,,19931.93,61964.56,fee schedule,"Organ Acquisition charges will be paid at 100% of current Organ Acquisition Costs (OAC) amount as calculated in accordance with CMS Provider Reimbursement Manual, Part 1 - Chapter 31, Organ Acquisition Payment Policy, as may be amended in the future."
"MS-DRG 42.00: BREAST BIOPSY, LOCAL EXCISION AND OTHER BREAST PROCEDURES WITH CC/MCC",584,MS-DRG,,,,,,,facility,inpatient,,,,31162.45000,Blue Cross Blue Shield of Arizona,BCBSAZ Workers Comp,,58154.70,,"Cost adjuster payment gets paid in addition to DRG payment, and is calculated: Cost Adjuster Payment = ((Billed Charges X CCR) - (BCBSAZ DRG payment + Fixed Threshold Amount)) X Marginal Cost Factor.",,,,0,19931.93,61964.56,case rate,"For IP services not included in the DRG Fee Schedule, reimbursement is the lesser of 100% of Billed Charges or a percentage of the BCBSAZ OP Fee Schedule.; there were no paid claims found for this combination of service, payer, and plan within the prior 12-15 months of this file's publishing"
"MS-DRG 42.00: BREAST BIOPSY, LOCAL EXCISION AND OTHER BREAST PROCEDURES WITH CC/MCC",584,MS-DRG,,,,,,,facility,inpatient,,,,31162.45000,UPMC Health Plan,Medicare Advantage,,19931.93,,,,,,,19931.93,61964.56,fee schedule,
"MS-DRG 42.00: BREAST BIOPSY, LOCAL EXCISION AND OTHER BREAST PROCEDURES WITHOUT CC/MCC",585,MS-DRG,,,,,,,facility,inpatient,,,,26787.93000,Aetna,Designated Group,,42759.05,,,,,,,19352.42,60079.05,case rate,"If Eligible Billed Charges for inpatient covered services exceed the stop loss threshold limit, then the inpatient days prior to, including the date on which threshold is reached, will be reimbursed at the set per diem rate. Delays in discharge solely due to unavailability of PABHS, or delay in Company response to requests from Hospital for PABHS, are paid at an additional per diem rate. Company may determine that the Inpatient level of care provided for a given service was not Medically Necessary. If Banner Health agrees to accept Company’s level of care determination, Banner Health may resubmit the claim with Observation bill type for payment of Covered Services in accordance with the Observation Case Rate for non-rehab stays. For rehab stays, a case rate will be paid."
"MS-DRG 42.00: CARDIAC ARREST, UNEXPLAINED WITH CC",297,MS-DRG,,,,,,,facility,inpatient,,,,11596.44000,UPMC Health Plan,Medicare Advantage,,7439.52,,,,,,,7439.52,29574.88,fee schedule,
"MS-DRG 42.00: CARDIAC ARREST, UNEXPLAINED WITH CC",297,MS-DRG,,,,,,,facility,inpatient,,,,11596.44000,United Healthcare,UHC Doctor's Plan,,16979.56,,,,,,,7439.52,29574.88,case rate,"When Eligible Charges exceed the Inpatient Outlier Threshold, the contract rate will be designated % of Eligible Charges for the entire admission. Additionally, when the length of stay exceeds 20 days during a single admission, the contract rate will be a per diem rate for each day in excess in addition to the applicable contract rate."
"MS-DRG 42.00: CARDIAC ARREST, UNEXPLAINED WITH MCC",296,MS-DRG,,,,,,,facility,inpatient,,,,25499.44000,"Cigna Healthcare of Arizona, Inc.",Commercial,,49586.18,,,,,,,16127.47,49586.18,case rate,"If Hospital’s total Billed Charges for Covered Services rendered with respect to a particular Participant’s continuous acute inpatient confinement exceed $355,665.00, Hospital will be reimbursed at a 38.7% reduction from Hospital’s Billed Charges, less applicable Copayments, Coinsurance and Deductibles, for Covered Services rendered to the Participant during the entire covered acute inpatient stay and the applicable case rate or per diem specified above shall not apply."
"MS-DRG 42.00: CARDIAC ARREST, UNEXPLAINED WITH MCC",296,MS-DRG,,,,,,,facility,inpatient,,,,25499.44000,Aetna,Medicare Advantage,,16127.47,,,,,,,16127.47,49586.18,fee schedule,"Delays due to unavailability of PAHS, or delay in Company response to requests from Hospital for PAHS, will result in an additional per diem payment of $684 for Qualified Health Plan and $560 for Medicare Advantage plan."
"MS-DRG 42.00: CARDIAC ARREST, UNEXPLAINED WITH MCC",296,MS-DRG,,,,,,,facility,inpatient,,,,25499.44000,Care 1st,Medicare Advantage,,16127.47,,,,,,,16127.47,49586.18,fee schedule,
"MS-DRG 42.00: CARDIAC ARREST, UNEXPLAINED WITH MCC",296,MS-DRG,,,,,,,facility,inpatient,,,,25499.44000,Devoted Health Services,Medicare Advantage,,16933.84,,,,,,,16127.47,49586.18,fee schedule,
"MS-DRG 42.00: CARDIAC ARREST, UNEXPLAINED WITH MCC",296,MS-DRG,,,,,,,facility,inpatient,,,,25499.44000,UPMC Health Plan,Medicare Advantage,,16127.47,,,,,,,16127.47,49586.18,fee schedule,
"MS-DRG 42.00: CARDIAC ARREST, UNEXPLAINED WITHOUT CC/MCC",298,MS-DRG,,,,,,,facility,inpatient,,,,6999.22000,Blue Cross Blue Shield of Arizona,Medicare Advantage,,4995.93,,,,,,,4995.93,22822.27,fee schedule,
"MS-DRG 42.00: CARDIAC ARREST, UNEXPLAINED WITHOUT CC/MCC",298,MS-DRG,,,,,,,facility,inpatient,,,,6999.22000,Blue Cross Blue Shield of Arizona,Medicare Advantage,,4995.93,,,,,,,4995.93,22822.27,fee schedule,
"MS-DRG 42.00: D&C, CONIZATION, LAPAROSCOPY AND TUBAL INTERRUPTION WITH CC/MCC",744,MS-DRG,,,,,,,facility,inpatient,,,,29937.58000,"Cigna Healthcare of Arizona, Inc.",Commercial,,59137.81,,,,,,,19063.12,59137.81,case rate,"If Hospital’s total Billed Charges for Covered Services rendered with respect to a particular Participant’s continuous acute inpatient confinement exceed $355,665.00, Hospital will be reimbursed at a 38.7% reduction from Hospital’s Billed Charges, less applicable Copayments, Coinsurance and Deductibles, for Covered Services rendered to the Participant during the entire covered acute inpatient stay and the applicable case rate or per diem specified above shall not apply."
"MS-DRG 42.00: D&C, CONIZATION, LAPAROSCOPY AND TUBAL INTERRUPTION WITH CC/MCC",744,MS-DRG,,,,,,,facility,inpatient,,,,29937.58000,Aetna,Banner Employee Plans,,21350.69,,,,,,,19063.12,59137.81,fee schedule,"Delays in discharge solely due to unavailability of PABHS, or delay in Company response to requests from Hospital for PABHS, are paid at an additional per diem of $557. Company may determine that the Inpatient level of care provided for a given service was not Medically Necessary.  If Banner Health agrees to accept Company’s level of care determination, Banner Health may resubmit the claim with Observation bill type for payment of Covered Services in accordance with the Observation Case Rate for non-rehab stays. For rehab stays, a case rate of $3,748 will be paid."
"MS-DRG 42.00: D&C, CONIZATION, LAPAROSCOPY AND TUBAL INTERRUPTION WITH CC/MCC",744,MS-DRG,,,,,,,facility,inpatient,,,,29937.58000,Blue Cross Blue Shield of Arizona,Medicare Advantage,,19063.12,,,,,,,19063.12,59137.81,fee schedule,
"MS-DRG 42.00: D&C, CONIZATION, LAPAROSCOPY AND TUBAL INTERRUPTION WITH CC/MCC",744,MS-DRG,,,,,,,facility,inpatient,,,,29937.58000,Blue Cross Blue Shield of Arizona,Medicare Advantage,,19063.12,,,,,,,19063.12,59137.81,fee schedule,
"MS-DRG 42.00: D&C, CONIZATION, LAPAROSCOPY AND TUBAL INTERRUPTION WITHOUT CC/MCC",745,MS-DRG,,,,,,,facility,inpatient,,,,16479.99000,Aetna,Joint Venture,,20775.77,,,,,,,10419.84,31015.57,case rate,"If Eligible Billed Charges for inpatient covered services exceed the stop loss threshold limit, then the inpatient days prior to, including the date on which threshold is reached, will be reimbursed at the set per diem rate. Delays in discharge solely due to unavailability of PABHS, or delay in Company response to requests from Hospital for PABHS, are paid at an additional per diem rate. Company may determine that the Inpatient level of care provided for a given service was not Medically Necessary. If Banner Health agrees to accept Company’s level of care determination, Banner Health may resubmit the claim with Observation bill type for payment of Covered Services in accordance with the Observation Case Rate for non-rehab stays. For rehab stays, a case rate will be paid."
"MS-DRG 42.00: D&C, CONIZATION, LAPAROSCOPY AND TUBAL INTERRUPTION WITHOUT CC/MCC",745,MS-DRG,,,,,,,facility,inpatient,,,,16479.99000,Blue Cross Blue Shield of Arizona,BCBSAZ Workers Comp,,25525.29,,"Cost adjuster payment gets paid in addition to DRG payment, and is calculated: Cost Adjuster Payment = ((Billed Charges X CCR) - (BCBSAZ DRG payment + Fixed Threshold Amount)) X Marginal Cost Factor.",,,,0,10419.84,31015.57,case rate,"For IP services not included in the DRG Fee Schedule, reimbursement is the lesser of 100% of Billed Charges or a percentage of the BCBSAZ OP Fee Schedule.; there were no paid claims found for this combination of service, payer, and plan within the prior 12-15 months of this file's publishing"
"MS-DRG 42.00: DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH CC",442,MS-DRG,,,,,,,facility,inpatient,,,,15143.77000,Blue Cross Blue Shield of Arizona,Commercial,,34079.93,,"Cost adjuster payment gets paid in addition to DRG payment, and is calculated: Cost Adjuster Payment = ((Billed Charges X CCR) - (BCBSAZ DRG payment + Fixed Threshold Amount)) X Marginal Cost Factor.",,,,0,9874.75,34079.93,case rate,"For IP services not included in the DRG Fee Schedule, reimbursement is the lesser of 100% of Billed Charges or a percentage of the BCBSAZ OP Fee Schedule.; there were no paid claims found for this combination of service, payer, and plan within the prior 12-15 months of this file's publishing"
"MS-DRG 42.00: DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH MCC",441,MS-DRG,,,,,,,facility,inpatient,,,,29078.59000,Blue Cross Blue Shield of Arizona,Medicare Advantage,,18471.55,,,,,,,18471.55,57212.96,fee schedule,
"MS-DRG 42.00: DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH MCC",441,MS-DRG,,,,,,,facility,inpatient,,,,29078.59000,Blue Cross Blue Shield of Arizona,Medicare Advantage,,18471.55,,,,,,,18471.55,57212.96,fee schedule,
"MS-DRG 42.00: DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH MCC",441,MS-DRG,,,,,,,facility,inpatient,,,,29078.59000,Care 1st,Medicare Advantage,,18471.55,,,,,,,18471.55,57212.96,fee schedule,
"MS-DRG 42.00: ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITH MAJOR O.R. PROCEDURES",003,MS-DRG,,,,,,,facility,inpatient,,,,339144.14000,Blue Cross Blue Shield of Arizona,Commercial,,570452.69,,"Cost adjuster payment gets paid in addition to DRG payment, and is calculated: Cost Adjuster Payment = ((Billed Charges X CCR) - (BCBSAZ DRG payment + Fixed Threshold Amount)) X Marginal Cost Factor.",,,,0,200241.19,648627.37,case rate,"For IP services not included in the DRG Fee Schedule, reimbursement is the lesser of 100% of Billed Charges or a percentage of the BCBSAZ OP Fee Schedule.; there were no paid claims found for this combination of service, payer, and plan within the prior 12-15 months of this file's publishing"
"MS-DRG 42.00: ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITH MAJOR O.R. PROCEDURES",003,MS-DRG,,,,,,,facility,inpatient,,,,339144.14000,UPMC Health Plan,Medicare Advantage,,200241.19,,,,,,,200241.19,648627.37,fee schedule,
"MS-DRG 42.00: ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITH MCC",391,MS-DRG,,,,,,,facility,inpatient,,,,20297.74000,Oscar Health Plan,Commercial,,21178.66,,,,,,,12835.55,38875.39,fee schedule,
"MS-DRG 42.00: ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITHOUT MCC",392,MS-DRG,,,,,,,facility,inpatient,,,,12503.16000,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,,15616.25,,"Cost adjuster payment gets paid in addition to DRG payment, and is calculated: Cost Adjuster Payment = ((Billed Charges X CCR) - (BCBSAZ DRG payment + Fixed Threshold Amount)) X Marginal Cost Factor.",,,,0,8145.54,23615.78,case rate,"For IP services not included in the DRG Fee Schedule, reimbursement is the lesser of 100% of Billed Charges or a percentage of the BCBSAZ OP Fee Schedule.; there were no paid claims found for this combination of service, payer, and plan within the prior 12-15 months of this file's publishing"
"MS-DRG 42.00: ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITHOUT MCC",392,MS-DRG,,,,,,,facility,inpatient,,,,12503.16000,Blue Cross Blue Shield of Arizona,BXBSAZ Neighborhood,,14640.36,,"Cost adjuster payment gets paid in addition to DRG payment, and is calculated: Cost Adjuster Payment = ((Billed Charges X CCR) - (BCBSAZ DRG payment + Fixed Threshold Amount)) X Marginal Cost Factor.",,,,0,8145.54,23615.78,case rate,"For IP services not included in the DRG Fee Schedule, reimbursement is the lesser of 100% of Billed Charges or a percentage of the BCBSAZ OP Fee Schedule.; there were no paid claims found for this combination of service, payer, and plan within the prior 12-15 months of this file's publishing"
"MS-DRG 42.00: EXTREME IMMATURITY OR RESPIRATORY DISTRESS SYNDROME, NEONATE",790,MS-DRG,,,,,,,facility,inpatient,,,,95443.94000,Carelon,Medicare Advantage,,58994.26,,,,,,,2046.00,194796.21,fee schedule,
"MS-DRG 42.00: FRACTURE, SPRAIN, STRAIN AND DISLOCATION EXCEPT FEMUR, HIP, PELVIS AND THIGH WITH MCC",562,MS-DRG,,,,,,,facility,inpatient,,,,24195.04000,Aetna,Broad Network,,37086.55,,,,,,,14500.58,44292.83,case rate,"If Eligible Billed Charges for inpatient covered services exceed the stop loss threshold limit, then the inpatient days prior to, including the date on which threshold is reached, will be reimbursed at the set per diem rate. Delays in discharge solely due to unavailability of PABHS, or delay in Company response to requests from Hospital for PABHS, are paid at an additional per diem rate. Company may determine that the Inpatient level of care provided for a given service was not Medically Necessary. If Banner Health agrees to accept Company’s level of care determination, Banner Health may resubmit the claim with Observation bill type for payment of Covered Services in accordance with the Observation Case Rate for non-rehab stays. For rehab stays, a case rate will be paid."
"MS-DRG 42.00: FRACTURE, SPRAIN, STRAIN AND DISLOCATION EXCEPT FEMUR, HIP, PELVIS AND THIGH WITHOUT MCC",563,MS-DRG,,,,,,,facility,inpatient,,,,14252.96000,United Healthcare,UHC Core,,22516.61,,,,,,,9201.30,27050.86,case rate,"When Eligible Charges exceed the Inpatient Outlier Threshold, the contract rate will be designated % of Eligible Charges for the entire admission. Additionally, when the length of stay exceeds 20 days during a single admission, the contract rate will be a per diem rate for each day in excess in addition to the applicable contract rate."
"MS-DRG 42.00: INFECTIONS, FEMALE REPRODUCTIVE SYSTEM WITH CC",758,MS-DRG,,,,,,,facility,inpatient,,,,15795.97000,Aetna,Medicare Advantage,,10368.68,,,,,,,10368.68,30849.11,fee schedule,"Delays due to unavailability of PAHS, or delay in Company response to requests from Hospital for PAHS, will result in an additional per diem payment of $684 for Qualified Health Plan and $560 for Medicare Advantage plan."
"MS-DRG 42.00: ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITH MCC",061,MS-DRG,,,,,,,facility,inpatient,,,,44588.23000,Oscar Health Plan,Commercial,,42956.02,,,,,,,26033.95,89526.65,fee schedule,
"MS-DRG 42.00: ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITHOUT CC/MCC",063,MS-DRG,,,,,,,facility,inpatient,,,,23654.19000,Arizona Priority Care,Alignment Health Plans Medicare Advantage/Eternal Health Plan Medicare/SCAN Health Plan Medicare,,15350.02,,,,,,,13954.56,65342.97,fee schedule,"IP Transplant services are paid at 110% of Medicare allowable, plus 100% of the CMS organ Acquisition Charge. Hematopoietic stem cell acquisition, manipulation, transport, and storage is also reimbursed at 100%. Inpatient services not reimbursed by Medicare require prior authorization for 60% of billed charges reimbursement."
"MS-DRG 42.00: ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITHOUT CC/MCC",063,MS-DRG,,,,,,,facility,inpatient,,,,23654.19000,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,,52274.64,,"Cost adjuster payment gets paid in addition to DRG payment, and is calculated: Cost Adjuster Payment = ((Billed Charges X CCR) - (BCBSAZ DRG payment + Fixed Threshold Amount)) X Marginal Cost Factor.",,,,0,13954.56,65342.97,case rate,"For IP services not included in the DRG Fee Schedule, reimbursement is the lesser of 100% of Billed Charges or a percentage of the BCBSAZ OP Fee Schedule.; there were no paid claims found for this combination of service, payer, and plan within the prior 12-15 months of this file's publishing"
